symbol,timestamp,open,high,low,close,volume,trade_count,vwap,ema,label
NVDA,2023-11-20 05:00:00+00:00,493.12,505.48,491.8101,504.09,41639206,662462,499.515867,,1
NVDA,2023-11-21 05:00:00+00:00,501.26,505.17,492.22,499.44,56745863,858569,498.400949,,2
NVDA,2023-11-22 05:00:00+00:00,498.52,503.3494,476.9,487.16,90080351,1231299,487.474841,,2
NVDA,2023-11-24 05:00:00+00:00,484.7001,489.21,477.45,477.76,29464465,450796,481.608444,,1
NVDA,2023-11-27 05:00:00+00:00,478,485.3,476.52,482.42,39576048,551939,481.908906,,1
NVDA,2023-11-28 05:00:00+00:00,482.36,483.229,474.73,478.21,40157780,567709,478.137583,,1
NVDA,2023-11-29 05:00:00+00:00,483.79,487.62,478.6,481.4,38207198,491845,482.631669,,2
NVDA,2023-11-30 05:00:00+00:00,480.24,481.1,464.22,467.7,52636791,678031,469.353148,,1
NVDA,2023-12-01 05:00:00+00:00,465.25,472,461.87,467.65,36931703,537779,467.531035,,2
NVDA,2023-12-04 05:00:00+00:00,460.77,460.77,450.1,455.1,43768195,690329,454.218687,480.093,1
NVDA,2023-12-05 05:00:00+00:00,454.66,466,452.71,465.66,37193879,546821,461.592557,477.46881818181816,2
NVDA,2023-12-06 05:00:00+00:00,472.145,473.87,454.12,455.03,38077359,545495,462.445741,473.3890330578512,1
NVDA,2023-12-07 05:00:00+00:00,457,466.29,456.04,465.96,35096168,471206,462.647656,472.0382997746056,1
NVDA,2023-12-08 05:00:00+00:00,465.95,477.4085,465.5,475.06,35922370,516810,474.099774,472.5876998155864,1
NVDA,2023-12-11 05:00:00+00:00,474.91,475.31,458.3,466.27,50983756,700296,465.141151,471.4390271218433,1
NVDA,2023-12-12 05:00:00+00:00,460.46,476.66,460.46,476.57,37246102,509046,471.489809,472.3719312815082,1
NVDA,2023-12-13 05:00:00+00:00,476.29,485.94,476.08,480.88,44780275,575077,481.935865,473.9188528666885,1
NVDA,2023-12-14 05:00:00+00:00,483.9,486.7,474.22,483.5,39132451,557483,481.183683,475.6608796181996,0
NVDA,2023-12-15 05:00:00+00:00,481.94,494.04,481.2,488.9,47994758,562042,489.389394,478.0679924148905,0
NVDA,2023-12-18 05:00:00+00:00,494,504.3299,491.5,500.77,41271269,623417,498.999075,482.19563015763765,1
NVDA,2023-12-19 05:00:00+00:00,494.24,497,488.95,496.04,46449269,641091,493.152247,484.7127883107944,1
NVDA,2023-12-20 05:00:00+00:00,496.55,499.99,480.98,481.11,39810215,549515,491.868792,484.0577359,1
NVDA,2023-12-21 05:00:00+00:00,488.11,490.95,484.19,489.9,30050595,430775,487.389554,485.1199657287136,1
NVDA,2023-12-22 05:00:00+00:00,491.95,493.83,484.67,488.3,25250676,383378,489.769641,485.6981537780383,1
NVDA,2023-12-26 05:00:00+00:00,489.68,496,489.6,492.79,24422298,353363,493.672295,486.98758036384953,1
NVDA,2023-12-27 05:00:00+00:00,495.11,496.8,490.85,494.17,23369993,337162,493.566589,488.2934748431496,1
NVDA,2023-12-28 05:00:00+00:00,496.43,498.8399,494.12,495.22,24660983,371424,496.419755,489.5528430534861,1
NVDA,2023-12-29 05:00:00+00:00,498.13,499.97,487.51,495.22,38929371,520970,495.195597,490.58323522557953,1
NVDA,2024-01-02 05:00:00+00:00,492.44,492.95,475.95,481.68,41133111,680390,480.482282,488.9644652,2
NVDA,2024-01-03 05:00:00+00:00,474.85,481.841,473.2,475.69,32097119,493660,476.744133,486.5509260600986,1
NVDA,2024-01-04 05:00:00+00:00,477.67,485,475.08,479.98,30662544,455046,480.95109,485.35621223098974,1
NVDA,2024-01-05 05:00:00+00:00,484.62,495.47,483.0601,490.97,41503927,556258,490.354366,486.3769009162643,0
NVDA,2024-01-08 05:00:00+00:00,495.12,522.75,494.79,522.53,64308094,948229,513.352222,492.9501916587616,0
NVDA,2024-01-09 05:00:00+00:00,524.01,543.25,516.9,531.4,77334975,1006357,531.448511,499.9410659026231,0
NVDA,2024-01-10 05:00:00+00:00,536.16,546,534.89,543.5,53394953,752227,541.765545,507.8608721021461,1
NVDA,2024-01-11 05:00:00+00:00,549.99,553.46,535.6,548.22,59697401,814847,545.868626,515.1988953563014,1
NVDA,2024-01-12 05:00:00+00:00,546.2,549.7,543.3008,547.1,35299360,487145,546.736455,520.9990962006102,0
NVDA,2024-01-16 05:00:00+00:00,550.18,568.3499,549,563.82,44977776,687465,561.354164,528.7847150732265,1
NVDA,2024-01-17 05:00:00+00:00,563.47,564.7068,547.4,560.53,47448801,665948,556.550245,534.5565850599125,0
NVDA,2024-01-18 05:00:00+00:00,572.6,576,561.07,571.07,49183974,722524,570.667641,541.1953878,0
NVDA,2024-01-19 05:00:00+00:00,579.89,595,572.25,594.91,54350148,807789,585.40252,550.9616809078752,1
NVDA,2024-01-22 05:00:00+00:00,600.49,603.31,590.7,596.54,45302505,747100,597.724895,559.2486480155343,1
NVDA,2024-01-23 05:00:00+00:00,595.7,599.1,585.85,598.73,29500088,507343,594.585376,566.4270756490735,0
NVDA,2024-01-24 05:00:00+00:00,603.04,628.49,599.38,613.62,56047531,880836,617.44309,575.0076073492419,1
NVDA,2024-01-25 05:00:00+00:00,623.5,627.19,608.5,616.17,48378949,775490,619.245556,582.4916787402888,1
NVDA,2024-01-26 05:00:00+00:00,609.6,617.83,605.73,610.31,39030859,606912,611.602505,587.5495553329635,0
NVDA,2024-01-29 05:00:00+00:00,612.32,624.89,609.07,624.65,34873108,565950,617.871653,594.2950907269701,1
NVDA,2024-01-30 05:00:00+00:00,629,634.93,622.6,627.74,41073530,660019,629.022128,600.3759833220664,1
NVDA,2024-01-31 05:00:00+00:00,614.4,622.6902,607,615.27,45379487,701640,615.154719,603.0839863544179,0
NVDA,2024-02-01 05:00:00+00:00,621,631.91,616.5,630.27,36914579,599646,624.246432,608.0268979263419,0
NVDA,2024-02-02 05:00:00+00:00,639.74,666,636.9,661.6,47657765,813526,656.296357,617.7674619397343,0
NVDA,2024-02-05 05:00:00+00:00,682.25,694.97,672.05,693.32,68007801,1160230,686.559356,631.5042870416008,1
NVDA,2024-02-06 05:00:00+00:00,696.3,697.5399,663,682.23,68311136,1223707,677.572635,640.7271439431279,0
NVDA,2024-02-07 05:00:00+00:00,683.19,702.2,676,700.99,49557455,839834,692.525176,651.6840268625592,1
NVDA,2024-02-08 05:00:00+00:00,700.74,707.94,694.55,696.41,41442211,717947,701.173846,659.8160219784575,0
NVDA,2024-02-09 05:00:00+00:00,705.33,721.85,702.12,721.33,43665939,773568,714.88847,671.0003816187378,1
NVDA,2024-02-12 05:00:00+00:00,726,746.11,712.5,722.48,61371018,1078959,728.909946,680.3603122335128,1
NVDA,2024-02-13 05:00:00+00:00,704,734.5,696.2,721.28,60258015,1062434,720.055097,687.8002554637832,0
NVDA,2024-02-14 05:00:00+00:00,732.02,742.36,719.38,739,50491742,854412,732.36579,697.1092999249134,1
NVDA,2024-02-15 05:00:00+00:00,738.69,739.75,724,726.58,42012181,806555,730.073443,702.4676090294746,1
NVDA,2024-02-16 05:00:00+00:00,741,744.02,725.01,726.13,49532662,898213,734.368236,706.7698619332065,1
NVDA,2024-02-20 05:00:00+00:00,719.47,719.56,677.34,694.52,70483310,1568244,689.936897,704.5426143,2
NVDA,2024-02-21 05:00:00+00:00,680.06,688.88,662.48,674.72,69029813,1617873,674.992204,699.1203207982621,1
NVDA,2024-02-22 05:00:00+00:00,750.25,785.75,742.2,785.38,86509974,1827501,773.43754,714.8038988349417,1
NVDA,2024-02-23 05:00:00+00:00,807.9,823.94,775.7,788.17,82939277,1644222,799.076172,728.1431899558613,1
NVDA,2024-02-26 05:00:00+00:00,797,806.4599,785.05,790.92,50396923,975739,795.768896,739.5571554184319,1
NVDA,2024-02-27 05:00:00+00:00,793.81,794.8,771.62,787.01,39171224,758325,787.611785,748.1849453423533,1
NVDA,2024-02-28 05:00:00+00:00,776.2,789.33,771.25,776.63,39311040,737984,779.623401,753.3567734619254,0
NVDA,2024-02-29 05:00:00+00:00,790.94,799.9,783.5,791.12,50728898,764736,792.848305,760.2228146506662,0
NVDA,2024-03-01 05:00:00+00:00,800,823,794.3503,822.79,47913510,975905,813.731888,771.5986665323633,0
NVDA,2024-03-04 05:00:00+00:00,841.3,876.95,837.19,852.37,61561645,1323065,857.790773,786.2843635,1
NVDA,2024-03-05 05:00:00+00:00,852.7,860.97,834.1701,859.64,52063930,1036771,849.446616,799.6217519762099,0
NVDA,2024-03-06 05:00:00+00:00,880.22,897.24,870.3001,887,58252030,1116153,884.863021,815.5087061623535,0
NVDA,2024-03-07 05:00:00+00:00,901.58,927.67,896.0201,926.69,60811916,1256063,916.061586,835.7234868601074,1
NVDA,2024-03-08 05:00:00+00:00,951.379,974,865.06,875.28,114226906,2561403,910.834245,842.9155801582697,1
NVDA,2024-03-11 04:00:00+00:00,864.29,887.97,841.66,857.74,67836412,1494061,866.337312,845.6109292204025,0
NVDA,2024-03-12 04:00:00+00:00,880.49,919.6,861.501,919.13,66807515,1336881,897.01731,858.978033,1
NVDA,2024-03-13 04:00:00+00:00,910.55,915.04,884.35,908.88,63571289,1295442,898.588036,868.0511179078726,1
NVDA,2024-03-14 04:00:00+00:00,895.77,906.46,866,879.44,60231816,1249654,880.515703,870.1218237428047,1
NVDA,2024-03-15 04:00:00+00:00,869.3,895.46,862.57,878.365,64208616,1031106,882.333234,871.6205830622948,1
NVDA,2024-03-18 04:00:00+00:00,903.88,924.05,870.85,884.55,66897593,1373021,893.837912,873.9713861418775,0
NVDA,2024-03-19 04:00:00+00:00,867,905.44,850.1,893.98,67217127,1372136,878.901875,877.6093159342633,0
NVDA,2024-03-20 04:00:00+00:00,897.97,904.1,882.23,903.72,47906279,952627,893.404155,882.3567130371246,0
NVDA,2024-03-21 04:00:00+00:00,923,926.48,904.05,914.35,48037231,1005134,916.30033,888.1736743031018,0
NVDA,2024-03-22 04:00:00+00:00,911.41,947.7799,908.3401,942.89,58671936,1161164,935.36487,898.1220971570833,1
NVDA,2024-03-25 04:00:00+00:00,939.41,967.6599,935.1,950.02,55213608,1113330,955.126917,907.5580794921592,1
NVDA,2024-03-26 04:00:00+00:00,958.51,963.75,925.02,925.61,51364758,984594,944.816883,910.8402469,1
NVDA,2024-03-27 04:00:00+00:00,931.12,932.4,891.23,902.5,58606723,1189235,902.781299,909.3238383377262,1
NVDA,2024-03-28 04:00:00+00:00,900,913,891.93,903.56,43521227,771056,905.126391,908.2758677308668,1
NVDA,2024-04-01 04:00:00+00:00,902.99,922.25,892.04,903.63,45244149,872235,905.176507,907.4311645070728,2
NVDA,2024-04-02 04:00:00+00:00,884.48,900.94,876.2,894.52,43306355,838080,889.599867,905.0836800512412,1
NVDA,2024-04-03 04:00:00+00:00,884.84,903.74,884,889.64,37006655,698937,895.719845,902.2757382237428,2
NVDA,2024-04-04 04:00:00+00:00,904.06,906.3399,858.8,859.05,43496492,892810,883.932198,894.4165130921531,1
NVDA,2024-04-05 04:00:00+00:00,868.66,884.81,859.26,880.08,39967846,788317,876.158547,891.8098743481252,1
NVDA,2024-04-08 04:00:00+00:00,887,888.3,867.32,871.33,28322000,643890,874.063093,888.0862608302841,2
NVDA,2024-04-09 04:00:00+00:00,874.42,876.35,830.22,853.54,50354735,1086603,848.039002,881.8051224975052,1
NVDA,2024-04-10 04:00:00+00:00,839.26,874,837.09,870.39,43206293,869833,864.785898,879.7296456797769,1
NVDA,2024-04-11 04:00:00+00:00,874.2,907.3899,869.26,906.16,43163727,893266,891.307951,884.5351646470901,1
NVDA,2024-04-12 04:00:00+00:00,896.99,901.7499,875.3,881.86,42578434,840210,887.236816,884.0487710748919,2
NVDA,2024-04-15 04:00:00+00:00,890.98,906.13,859.2901,860.01,44307695,924636,881.375522,879.6780854249115,1
NVDA,2024-04-16 04:00:00+00:00,864.325,881.18,860.639,874.15,37045302,718364,872.868968,878.6729789840185,2
NVDA,2024-04-17 04:00:00+00:00,883.4,887.75,839.5,840.35,49539951,973568,856.663372,871.7051646232878,1
NVDA,2024-04-18 04:00:00+00:00,849.7,861.8999,824.02,846.71,44726034,837609,847.73986,867.1605892372355,2
NVDA,2024-04-19 04:00:00+00:00,831.5,843.24,756.06,762,87519800,1766352,796.427662,848.0404821031927,1
NVDA,2024-04-22 04:00:00+00:00,781.04,800.73,764,795.18,59628751,1227187,786.685194,838.4294853571575,1
NVDA,2024-04-23 04:00:00+00:00,807.69,827.69,802.64,824.23,43855937,868370,819.400522,835.8477607467652,2
NVDA,2024-04-24 04:00:00+00:00,839.5,840.82,791.83,796.77,51220753,1011396,813.402416,828.7427133382623,1
NVDA,2024-04-25 04:00:00+00:00,788.6801,833.2299,782.23,826.32,42464073,877533,817.445692,828.3022200040327,1
NVDA,2024-04-26 04:00:00+00:00,838.18,883.3093,833.87,877.35,55106478,1062174,866.674022,837.2199981851177,1
NVDA,2024-04-29 04:00:00+00:00,875.95,879.92,852.66,877.57,38897076,766266,870.227232,844.5563621514598,1
NVDA,2024-04-30 04:00:00+00:00,872.4,888.19,863,864.02,36370870,711698,873.184751,848.0952053966489,1
NVDA,2024-05-01 04:00:00+00:00,850.77,860,812.5456,830.41,55986317,1087885,835.241817,844.8797135,1
NVDA,2024-05-02 04:00:00+00:00,844.49,862.37,832,858.17,37789754,693554,849.656637,847.2961292324674,0
NVDA,2024-05-03 04:00:00+00:00,877.89,892.81,870.4,887.89,39834072,785566,883.897355,854.6768330083823,0
NVDA,2024-05-06 04:00:00+00:00,893.9,922.2,890.55,921.4,37620255,834439,913.945335,866.8083179159491,1
NVDA,2024-05-07 04:00:00+00:00,910.98,917.8099,890.11,905.54,43734161,835435,905.599248,873.8504419312311,1
NVDA,2024-05-08 04:00:00+00:00,894.825,911.94,894.2,904.12,32572102,621213,903.285384,879.3539979437345,1
NVDA,2024-05-09 04:00:00+00:00,905.29,910.72,882.31,887.47,37801268,715057,890.776029,880.8296346812373,0
NVDA,2024-05-10 04:00:00+00:00,903.045,914.01,892.27,898.78,33532541,677374,900.613719,884.0933374664668,1
NVDA,2024-05-13 04:00:00+00:00,904.78,909.98,885.29,903.99,28968017,623995,901.109542,887.7109124725637,0
NVDA,2024-05-14 04:00:00+00:00,895.99,916.51,889.34,913.56,29650708,617287,907.089948,892.4107465684611,0
NVDA,2024-05-15 04:00:00+00:00,924.72,948.62,915.99,946.3,41773545,909024,939.332586,902.2087926469228,1
NVDA,2024-05-16 04:00:00+00:00,949.1,958.1899,941.03,943.59,32395182,690246,949.503808,909.7326485293004,1
NVDA,2024-05-17 04:00:00+00:00,943.69,947.4,918.06,924.79,35989353,713922,931.682735,912.4703487967004,0
NVDA,2024-05-20 04:00:00+00:00,937.5,952,934.4,947.8,31876446,724694,946.954575,918.8939217427546,1
NVDA,2024-05-21 04:00:00+00:00,935.99,954,931.8,953.86,32894646,737743,945.536008,925.2513905167992,1
NVDA,2024-05-22 04:00:00+00:00,954.59,960.2,932.49,949.5,54865849,1385471,945.670615,929.6602286046538,0
NVDA,2024-05-23 04:00:00+00:00,1020.28,1063.2,1015.2,1037.99,83506528,2016780,1039.246561,949.3565506765348,0
NVDA,2024-05-24 04:00:00+00:00,1044.49,1064.75,1030,1064.69,42952427,992150,1048.721038,970.3262687353468,0
